"adm_03","rowcacode3","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Aderbissinat","NER001001001",1982,0.160568181223849,0.118406396375013,0.0146182179478429,0.179916532756456,0.0980730111616665,-0.197285178699288
"Gougaram","NER001002003",1982,0.153909151728279,0.117685536250564,0.018259932507677,0.178999120014374,0.105257570664324,-0.238367350944371
"Dannet","NER001002002",1982,0.16062352398524,0.120042487185109,0.022244730486334,0.201567985482758,0.158803687044285,-0.25783067294968
"Arlit","NER001002001",1982,0.1687,0.124064751552795,0.0233421097711275,0.200172413793103,0.119874973250561,-0.262543656442119
"Djado","NER001003003",1982,0.152138634035287,0.121971021855759,0.0121855744695538,0.188731930342589,0.12274676512878,-0.298120250003414
"Dirkou","NER001003002",1982,0.141634299122628,0.115681047459345,0.014017572921258,0.1849024606446,0.126413587057969,-0.342274612476037
"Bilma","NER001003001",1982,0.13573017187304,0.106383614201543,0.0118579207850407,0.162112804958545,0.0810654352770591,-0.325448608218
"Fachi","NER001003004",1982,0.131375,0.109118656253013,0.0121787927456264,0.183478290309467,0.1634127531049,-0.318844700425676
"Timia","NER001004002",1982,0.1567,0.111504870633141,0.0151889088016541,0.173585199591037,0.0952601024106131,-0.17725363676657
"Iferouane","NER001004001",1982,0.146150883862911,0.11973996415946,0.0122962187532535,0.173633308620236,0.112190951019564,-0.244961153351242
"Ingall","NER001005001",1982,0.159741632653061,0.121344595936849,0.0189868547803485,0.194748929781735,0.151047832889221,-0.231762988313432
"Tabelot","NER001006003",1982,0.151764976751162,0.108564918580437,0.0159968059097124,0.168753255254964,0.0878183493028584,-0.193447937004773
"Dabaga","NER001006002",1982,0.167433909574468,0.111174363500353,0.0256308923731239,0.185964414101926,0.0785442826496146,-0.235924295217296
"Tchirozerine","NER001006004",1982,0.173175676567657,0.116531438263244,0.0223376564433192,0.206281036063464,0.128767736642259,-0.257093588495537
"Agadez","NER001006001",1982,0.1858,0.125990654205607,0.0244506001947432,0.211572413793103,0.125721744614707,-0.204995674153957
"Toumour","NER002001002",1982,0.3756,0.157220376175549,0.0515868010505143,0.406013793103448,0.106123508652277,-0.286588650240558
"Bosso","NER002001001",1982,0.3734,0.16342234375,0.0533029030699158,0.370431034482759,0.0802413640366554,0.0370004367807741
