"adm_03","rowcacode3","year","yeartotal_precip"
"Aderbissinat","NER001001001",1981,116.126624990513
"Aderbissinat","NER001001001",1982,104.361800791688
"Aderbissinat","NER001001001",1983,78.313526163328
"Aderbissinat","NER001001001",1984,49.805199927644
"Aderbissinat","NER001001001",1985,108.535523456114
"Aderbissinat","NER001001001",1986,120.755225181528
"Aderbissinat","NER001001001",1987,70.7698303620593
"Aderbissinat","NER001001001",1988,165.645752672351
"Aderbissinat","NER001001001",1989,110.088534247173
"Aderbissinat","NER001001001",1990,64.9691965587812
"Aderbissinat","NER001001001",1991,101.851786136698
"Aderbissinat","NER001001001",1992,83.5386651168578
"Aderbissinat","NER001001001",1993,100.185097850309
"Aderbissinat","NER001001001",1994,161.803685771311
"Aderbissinat","NER001001001",1995,78.6002022670953
"Aderbissinat","NER001001001",1996,70.9722389706542
"Aderbissinat","NER001001001",1997,106.910760256345
"Aderbissinat","NER001001001",1998,161.494875163514
"Aderbissinat","NER001001001",1999,175.500886054402
"Aderbissinat","NER001001001",2000,99.6557253901872
"Aderbissinat","NER001001001",2001,112.167324054768
"Aderbissinat","NER001001001",2002,131.710005462114
"Aderbissinat","NER001001001",2003,145.407334745564
"Aderbissinat","NER001001001",2004,92.6241022352618
"Aderbissinat","NER001001001",2005,112.283925321132
"Aderbissinat","NER001001001",2006,104.214341104179
"Aderbissinat","NER001001001",2007,126.208309428523
"Aderbissinat","NER001001001",2008,115.265391422917
"Aderbissinat","NER001001001",2009,84.1311150943594
"Aderbissinat","NER001001001",2010,149.826661262647
"Aderbissinat","NER001001001",2011,99.0241214493268
"Aderbissinat","NER001001001",2012,132.31148288402
"Aderbissinat","NER001001001",2013,108.312504056352
"Aderbissinat","NER001001001",2014,99.3126659392112
"Aderbissinat","NER001001001",2015,135.031637375573
"Aderbissinat","NER001001001",2016,113.91489987877
"Aderbissinat","NER001001001",2017,91.6723022867558
"Aderbissinat","NER001001001",2018,139.140269693527
"Aderbissinat","NER001001001",2019,121.919984547678
"Aderbissinat","NER001001001",2020,143.908654016939
"Aderbissinat","NER001001001",2021,102.263152002617
"Gougaram","NER001002003",1981,55.1204179659457
"Gougaram","NER001002003",1982,25.9782709629507
"Gougaram","NER001002003",1983,22.2296916401475
"Gougaram","NER001002003",1984,27.3906649833197
"Gougaram","NER001002003",1985,30.1151368020219
"Gougaram","NER001002003",1986,34.6371166527134
