"adm_03","rowcacode3","year","month","seasonaltotal_precip","seasonalmean_precip"
"Aderbissinat","NER001001001",1981,6,18.8237261178455,3.13728768630759
"Aderbissinat","NER001001001",1981,7,49.2011014678716,8.2001835779786
"Aderbissinat","NER001001001",1981,8,41.0635368392898,6.84392280654829
"Aderbissinat","NER001001001",1981,9,13.9397332228929,2.32328887048214
"Aderbissinat","NER001001001",1982,6,12.3981204017584,2.06635340029307
"Aderbissinat","NER001001001",1982,7,17.7987233609583,2.96645389349304
"Aderbissinat","NER001001001",1982,8,72.866494522917,12.1444157538195
"Aderbissinat","NER001001001",1982,9,11.9201825394218,1.98669708990364
"Aderbissinat","NER001001001",1983,6,17.4928333425467,2.91547222375778
"Aderbissinat","NER001001001",1983,7,33.5398118726669,5.58996864544449
"Aderbissinat","NER001001001",1983,8,29.2478855754321,4.87464759590534
"Aderbissinat","NER001001001",1983,9,9.81471480157859,1.6357858002631
"Aderbissinat","NER001001001",1984,6,10.4547694484809,1.74246157474682
"Aderbissinat","NER001001001",1984,7,12.4205893311276,2.0700982218546
"Aderbissinat","NER001001001",1984,8,11.763660998585,1.96061016643084
"Aderbissinat","NER001001001",1984,9,18.9270707912481,3.15451179854135
"Aderbissinat","NER001001001",1985,6,15.8539304536569,2.64232174227615
"Aderbissinat","NER001001001",1985,7,28.1226399094,4.68710665156667
"Aderbissinat","NER001001001",1985,8,55.3599257194002,9.2266542865667
"Aderbissinat","NER001001001",1985,9,18.4396747330183,3.07327912216971
"Aderbissinat","NER001001001",1986,6,15.7802646827561,2.63004411379269
"Aderbissinat","NER001001001",1986,7,44.9378487154676,7.48964145257794
"Aderbissinat","NER001001001",1986,8,45.1024041086184,7.51706735143641
"Aderbissinat","NER001001001",1986,9,30.795806443994,5.13263440733233
"Aderbissinat","NER001001001",1987,6,10.4521079281303,1.74201798802172
"Aderbissinat","NER001001001",1987,7,25.1821382498431,4.19702304164051
"Aderbissinat","NER001001001",1987,8,34.8484070088396,5.80806783480659
"Aderbissinat","NER001001001",1987,9,13.3209586003993,2.22015976673321
"Aderbissinat","NER001001001",1988,6,18.4389002512814,3.07315004188024
"Aderbissinat","NER001001001",1988,7,56.1072522156607,9.35120870261011
"Aderbissinat","NER001001001",1988,8,85.3301549175179,14.221692486253
"Aderbissinat","NER001001001",1988,9,16.1229900778342,2.68716501297236
"Aderbissinat","NER001001001",1989,6,12.3766877416347,2.06278129027245
"Aderbissinat","NER001001001",1989,7,28.7256195442792,4.78760325737987
"Aderbissinat","NER001001001",1989,8,70.8394821261496,11.8065803543583
"Aderbissinat","NER001001001",1989,9,11.3092628971784,1.88487714952974
"Aderbissinat","NER001001001",1990,6,9.83417967269823,1.6390299454497
"Aderbissinat","NER001001001",1990,7,30.9457914564417,5.15763190940695
"Aderbissinat","NER001001001",1990,8,26.6435277353718,4.4405879558953
"Aderbissinat","NER001001001",1990,9,9.23229172522776,1.53871528753796
"Aderbissinat","NER001001001",1991,6,12.3198829041462,2.0533138173577
"Aderbissinat","NER001001001",1991,7,41.7087628237554,6.95146047062591
"Aderbissinat","NER001001001",1991,8,50.0474882321579,8.34124803869299
"Aderbissinat","NER001001001",1991,9,10.2886428188191,1.71477380313652
"Aderbissinat","NER001001001",1992,6,12.0066913312244,2.00111522187073
"Aderbissinat","NER001001001",1992,7,38.5300995636829,6.42168326061382
"Aderbissinat","NER001001001",1992,8,48.4705387606157,8.07842312676928
"Aderbissinat","NER001001001",1992,9,11.4809699161897,1.91349498603161
"Aderbissinat","NER001001001",1993,6,11.9262693150712,1.98771155251186
"Aderbissinat","NER001001001",1993,7,26.6496583887215,4.44160973145359
"Aderbissinat","NER001001001",1993,8,50.1756233014594,8.36260388357656
"Aderbissinat","NER001001001",1993,9,21.4000936934918,3.56668228224863
"Aderbissinat","NER001001001",1994,6,11.1744229870155,1.86240383116926
"Aderbissinat","NER001001001",1994,7,36.4468457253067,6.07447428755112
"Aderbissinat","NER001001001",1994,8,77.7293394233717,12.9548899038953
"Aderbissinat","NER001001001",1994,9,44.0485405494405,7.34142342490676
"Aderbissinat","NER001001001",1995,6,11.8914562249841,1.98190937083068
"Aderbissinat","NER001001001",1995,7,24.5296081990543,4.08826803317572
"Aderbissinat","NER001001001",1995,8,33.6794511592096,5.61324185986826
"Aderbissinat","NER001001001",1995,9,23.6512826357984,3.94188043929974
"Aderbissinat","NER001001001",1996,6,16.2772543907388,2.7128757317898
"Aderbissinat","NER001001001",1996,7,17.4170884368806,2.90284807281344
"Aderbissinat","NER001001001",1996,8,35.0783684138961,5.84639473564935
"Aderbissinat","NER001001001",1996,9,18.4913608733532,3.0818934788922
"Aderbissinat","NER001001001",1997,6,18.6860434510585,3.11434057517641
"Aderbissinat","NER001001001",1997,7,23.0142241272173,3.83570402120289
"Aderbissinat","NER001001001",1997,8,53.5924803961485,8.93208006602476
"Aderbissinat","NER001001001",1997,9,22.1357096927483,3.68928494879139
"Aderbissinat","NER001001001",1998,6,12.1802100325012,2.03003500541686
"Aderbissinat","NER001001001",1998,7,46.8827530479558,7.81379217465929
"Aderbissinat","NER001001001",1998,8,77.1686179694815,12.8614363282469
"Aderbissinat","NER001001001",1998,9,42.3259071093785,7.05431785156308
"Aderbissinat","NER001001001",1999,6,10.5029606182709,1.75049343637849
"Aderbissinat","NER001001001",1999,7,54.3874207236109,9.06457012060181
"Aderbissinat","NER001001001",1999,8,94.5205173335022,15.7534195555837
"Aderbissinat","NER001001001",1999,9,33.3808674458397,5.56347790763995
"Aderbissinat","NER001001001",2000,6,13.26306854032,2.21051142338666
"Aderbissinat","NER001001001",2000,7,41.5392031217542,6.92320052029236
"Aderbissinat","NER001001001",2000,8,36.0398334706416,6.0066389117736
"Aderbissinat","NER001001001",2000,9,13.6893385321432,2.28155642202387
"Aderbissinat","NER001001001",2001,6,13.5293094337793,2.25488490562989
"Aderbissinat","NER001001001",2001,7,38.9258146695539,6.48763577825898
"Aderbissinat","NER001001001",2001,8,53.9101280438887,8.98502134064811
"Aderbissinat","NER001001001",2001,9,18.5958545786359,3.09930909643932
"Aderbissinat","NER001001001",2002,6,12.0756990336657,2.01261650561095
"Aderbissinat","NER001001001",2002,7,42.5643572853165,7.09405954755275
"Aderbissinat","NER001001001",2002,8,65.9472809263036,10.9912134877173
"Aderbissinat","NER001001001",2002,9,16.1130214947755,2.68550358246258
"Aderbissinat","NER001001001",2003,6,18.6811949057162,3.11353248428604
"Aderbissinat","NER001001001",2003,7,44.377545721156,7.39625762019266
"Aderbissinat","NER001001001",2003,8,74.2709529657887,12.3784921609648
"Aderbissinat","NER001001001",2003,9,21.9080765562875,3.65134609271459
"Aderbissinat","NER001001001",2004,6,10.6367712005598,1.7727952000933
"Aderbissinat","NER001001001",2004,7,26.5445920366635,4.42409867277726
"Aderbissinat","NER001001001",2004,8,48.9970195842938,8.16616993071563
"Aderbissinat","NER001001001",2004,9,14.2556605412178,2.3759434235363
"Aderbissinat","NER001001001",2005,6,17.2230195718827,2.87050326198046
"Aderbissinat","NER001001001",2005,7,35.9423465649607,5.99039109416012
"Aderbissinat","NER001001001",2005,8,52.4944681258926,8.74907802098211
"Aderbissinat","NER001001001",2005,9,19.3909811509866,3.2318301918311
"Aderbissinat","NER001001001",2006,6,7.97745368994824,1.32957561499137
"Aderbissinat","NER001001001",2006,7,19.0314579921578,3.17190966535964
"Aderbissinat","NER001001001",2006,8,54.0524463879035,9.00874106465059
"Aderbissinat","NER001001001",2006,9,30.9392017926676,5.15653363211127
"Aderbissinat","NER001001001",2007,6,13.8814526374785,2.31357543957975
"Aderbissinat","NER001001001",2007,7,40.088336146883,6.68138935781383
"Aderbissinat","NER001001001",2007,8,54.6748326100831,9.11247210168052
"Aderbissinat","NER001001001",2007,9,23.0495079615756,3.84158466026261
"Aderbissinat","NER001001001",2008,6,12.4463564852707,2.07439274754512
"Aderbissinat","NER001001001",2008,7,43.5850825841892,7.2641804306982
"Aderbissinat","NER001001001",2008,8,51.2249205400008,8.5374867566668
"Aderbissinat","NER001001001",2008,9,17.8124715596955,2.96874525994926
"Aderbissinat","NER001001001",2009,6,13.9772664195956,2.32954440326593
"Aderbissinat","NER001001001",2009,7,20.6186980594153,3.43644967656921
"Aderbissinat","NER001001001",2009,8,34.9276563849035,5.82127606415058
"Aderbissinat","NER001001001",2009,9,26.3780757340512,4.3963459556752
"Aderbissinat","NER001001001",2010,6,17.5154975805725,2.91924959676208
"Aderbissinat","NER001001001",2010,7,58.0500737245468,9.67501228742446
"Aderbissinat","NER001001001",2010,8,53.9776043391775,8.99626738986292
"Aderbissinat","NER001001001",2010,9,25.653927654126,4.27565460902101
"Aderbissinat","NER001001001",2011,6,15.7592457293698,2.62654095489497
"Aderbissinat","NER001001001",2011,7,33.3550375164124,5.55917291940206
"Aderbissinat","NER001001001",2011,8,55.3316603799963,9.22194339666606
"Aderbissinat","NER001001001",2011,9,13.3696949266925,2.22828248778208
"Aderbissinat","NER001001001",2012,6,15.5989023677303,2.59981706128838
"Aderbissinat","NER001001001",2012,7,39.1579033124998,6.52631721874997
"Aderbissinat","NER001001001",2012,8,58.1459081521579,9.69098469202631
"Aderbissinat","NER001001001",2012,9,25.2449934533819,4.20749890889699
"Aderbissinat","NER001001001",2013,6,12.1499859768318,2.0249976628053
"Aderbissinat","NER001001001",2013,7,24.7463886911145,4.12439811518574
"Aderbissinat","NER001001001",2013,8,67.9452534272773,11.3242089045462
"Aderbissinat","NER001001001",2013,9,14.9847759745695,2.49746266242825
