"adm_03","rowcacode3","year","month","seasonaltotal_precip","seasonalmedian_precip"
"Aderbissinat","NER001001001",1981,6,18.304953885957,2.65300394238804
"Aderbissinat","NER001001001",1981,7,44.8509327067014,3.98849354956074
"Aderbissinat","NER001001001",1981,8,39.484508679185,3.3336059515439
"Aderbissinat","NER001001001",1981,9,13.48622971867,2.1754505974664
"Aderbissinat","NER001001001",1982,6,12.0140641336171,2.01544573457651
"Aderbissinat","NER001001001",1982,7,15.9709677287496,1.68910350166388
"Aderbissinat","NER001001001",1982,8,66.4803776320099,8.86288348161033
"Aderbissinat","NER001001001",1982,9,9.89639129731091,1.60949964740149
"Aderbissinat","NER001001001",1983,6,16.1833856629829,2.35716324015647
"Aderbissinat","NER001001001",1983,7,28.647037372754,2.63349685957621
"Aderbissinat","NER001001001",1983,8,23.8325760506557,4.07469233112572
"Aderbissinat","NER001001001",1983,9,9.6505270769354,1.45482046301769
"Aderbissinat","NER001001001",1984,6,10.8327973314702,1.85948807232219
"Aderbissinat","NER001001001",1984,7,10.7660269386333,1.70900416658945
"Aderbissinat","NER001001001",1984,8,11.4476886569104,1.7794630165543
"Aderbissinat","NER001001001",1984,9,16.7586870006302,2.35035701114355
"Aderbissinat","NER001001001",1985,6,15.8631909583471,1.96538943774868
"Aderbissinat","NER001001001",1985,7,21.6165353174447,3.22039909324781
"Aderbissinat","NER001001001",1985,8,54.8438380415898,6.68073185689308
"Aderbissinat","NER001001001",1985,9,16.2119591387323,1.82353713223848
"Aderbissinat","NER001001001",1986,6,14.5425170299644,1.86307226250503
"Aderbissinat","NER001001001",1986,7,40.7010331305766,5.11111035416639
"Aderbissinat","NER001001001",1986,8,38.6868794558567,5.81286740636395
"Aderbissinat","NER001001001",1986,9,26.8247955651305,2.12504100774894
"Aderbissinat","NER001001001",1987,6,11.3766976320372,1.84315941604748
"Aderbissinat","NER001001001",1987,7,19.8698539665679,2.0422584575825
"Aderbissinat","NER001001001",1987,8,28.5468080608655,4.80672704561373
"Aderbissinat","NER001001001",1987,9,10.9764707025886,1.84139910895468
"Aderbissinat","NER001001001",1988,6,18.9963665057274,1.75874618204214
"Aderbissinat","NER001001001",1988,7,51.1231715505979,3.51334720287615
"Aderbissinat","NER001001001",1988,8,81.4412520783118,9.31354338299997
"Aderbissinat","NER001001001",1988,9,14.0849625377136,2.06281545423997
"Aderbissinat","NER001001001",1989,6,13.0395332072759,1.76573569941836
"Aderbissinat","NER001001001",1989,7,21.7830387165072,3.51616338957643
"Aderbissinat","NER001001001",1989,8,64.6490917527156,11.495038436434
"Aderbissinat","NER001001001",1989,9,10.6168705706747,1.55436481797119
"Aderbissinat","NER001001001",1990,6,10.8218640640335,1.79644781739887
"Aderbissinat","NER001001001",1990,7,24.7447236782686,2.9813223200769
"Aderbissinat","NER001001001",1990,8,20.06434165244,3.23151274836945
"Aderbissinat","NER001001001",1990,9,9.33826716403921,1.50534280106645
"Aderbissinat","NER001001001",1991,6,11.262822764568,1.64007400883975
"Aderbissinat","NER001001001",1991,7,41.1118592322305,6.17906202487984
"Aderbissinat","NER001001001",1991,8,39.7293694858153,4.69916586681919
"Aderbissinat","NER001001001",1991,9,9.74773465408444,1.54710945909464
"Aderbissinat","NER001001001",1992,6,11.2919095472905,1.57415230325597
"Aderbissinat","NER001001001",1992,7,25.7913923074524,3.83421842159335
"Aderbissinat","NER001001001",1992,8,35.4040655532959,4.66048991293751
"Aderbissinat","NER001001001",1992,9,11.051297708819,1.77371676368195
"Aderbissinat","NER001001001",1993,6,12.4879232300642,2.01627726987197
"Aderbissinat","NER001001001",1993,7,24.8771791833011,1.90572606233376
"Aderbissinat","NER001001001",1993,8,41.3009505825044,4.26568705309533
"Aderbissinat","NER001001001",1993,9,21.5190448544397,1.80916479153051
"Aderbissinat","NER001001001",1994,6,11.7747343760776,1.95680161036181
"Aderbissinat","NER001001001",1994,7,30.221467287366,4.50194791712674
"Aderbissinat","NER001001001",1994,8,75.5491712068049,11.6927700941826
"Aderbissinat","NER001001001",1994,9,44.2583129010625,8.62725157039403
"Aderbissinat","NER001001001",1995,6,11.7033532134988,1.87901957821741
"Aderbissinat","NER001001001",1995,7,19.0790805512416,2.20594244137116
"Aderbissinat","NER001001001",1995,8,25.919339334621,4.28279984719826
"Aderbissinat","NER001001001",1995,9,21.8984291677339,2.52669407260118
"Aderbissinat","NER001001001",1996,6,13.9633828249053,2.41182678644227
"Aderbissinat","NER001001001",1996,7,12.5660279127926,2.02478847430047
"Aderbissinat","NER001001001",1996,8,29.8251394842241,4.62045541734313
"Aderbissinat","NER001001001",1996,9,14.6176887487322,2.39706223484523
"Aderbissinat","NER001001001",1997,6,17.8729006247038,2.87923274888903
"Aderbissinat","NER001001001",1997,7,18.6250545512211,2.51120773009424
"Aderbissinat","NER001001001",1997,8,50.9176620291145,6.0687664394642
"Aderbissinat","NER001001001",1997,9,19.4951430513053,2.23891749898982
"Aderbissinat","NER001001001",1998,6,11.5405581829853,1.81031445243086
"Aderbissinat","NER001001001",1998,7,38.9922384785526,6.73302315128716
"Aderbissinat","NER001001001",1998,8,73.8852730370838,10.5236366075628
"Aderbissinat","NER001001001",1998,9,37.0768054648926,2.43952393521609
"Aderbissinat","NER001001001",1999,6,10.8495289106511,1.5811913270967
"Aderbissinat","NER001001001",1999,7,48.7867064412739,3.68668808777429
"Aderbissinat","NER001001001",1999,8,86.4780575947155,11.8667562910102
"Aderbissinat","NER001001001",1999,9,29.3865931077618,3.29297144169563
"Aderbissinat","NER001001001",2000,6,13.5276571139441,2.18786359101802
"Aderbissinat","NER001001001",2000,7,38.8014704293733,2.92314870525255
"Aderbissinat","NER001001001",2000,8,35.0045290269836,4.39264880724259
"Aderbissinat","NER001001001",2000,9,12.3220688198863,1.8093063456917
"Aderbissinat","NER001001001",2001,6,12.6838602541,1.9448185426947
"Aderbissinat","NER001001001",2001,7,28.8894354789996,3.80322823660169
"Aderbissinat","NER001001001",2001,8,56.260590548146,7.30606705306755
"Aderbissinat","NER001001001",2001,9,14.3334377735222,1.96135026938616
