"adm_03","rowcacode3","year","AnnualPrecip"
"Aderbissinat","NER001001001",1981,123.0280976479
"Aderbissinat","NER001001001",1982,114.983520825055
"Aderbissinat","NER001001001",1983,90.0952455922243
"Aderbissinat","NER001001001",1984,53.5660905694416
"Aderbissinat","NER001001001",1985,117.776170815475
"Aderbissinat","NER001001001",1986,136.616323950836
"Aderbissinat","NER001001001",1987,83.8036117872122
"Aderbissinat","NER001001001",1988,175.999297462294
"Aderbissinat","NER001001001",1989,123.251052309242
"Aderbissinat","NER001001001",1990,76.6557905897395
"Aderbissinat","NER001001001",1991,114.364776778879
"Aderbissinat","NER001001001",1992,110.488299571713
"Aderbissinat","NER001001001",1993,110.151644698744
"Aderbissinat","NER001001001",1994,169.399148685135
"Aderbissinat","NER001001001",1995,93.7517982190464
"Aderbissinat","NER001001001",1996,87.2640721148687
"Aderbissinat","NER001001001",1997,117.428457667173
"Aderbissinat","NER001001001",1998,178.557488159317
"Aderbissinat","NER001001001",1999,192.791766121224
"Aderbissinat","NER001001001",2000,104.531443664859
"Aderbissinat","NER001001001",2001,124.961106725858
"Aderbissinat","NER001001001",2002,136.700358740061
"Aderbissinat","NER001001001",2003,159.237770148948
"Aderbissinat","NER001001001",2004,100.434043362735
"Aderbissinat","NER001001001",2005,125.050815413723
"Aderbissinat","NER001001001",2006,112.000559862677
"Aderbissinat","NER001001001",2007,131.69412935602
"Aderbissinat","NER001001001",2008,125.068831169156
"Aderbissinat","NER001001001",2009,95.9016965979656
"Aderbissinat","NER001001001",2010,155.197103298423
"Aderbissinat","NER001001001",2011,117.815638552471
"Aderbissinat","NER001001001",2012,138.14770728577
"Aderbissinat","NER001001001",2013,119.826404069793
"Aderbissinat","NER001001001",2014,108.16810052898
"Aderbissinat","NER001001001",2015,142.950797861492
"Aderbissinat","NER001001001",2016,120.703186183969
"Aderbissinat","NER001001001",2017,103.9196040241
"Aderbissinat","NER001001001",2018,148.604627090346
"Aderbissinat","NER001001001",2019,128.295195409957
"Aderbissinat","NER001001001",2020,147.381864979737
"Aderbissinat","NER001001001",2021,115.596696668893
"Gougaram","NER001002003",1981,58.5659850385535
"Gougaram","NER001002003",1982,33.9857988600121
"Gougaram","NER001002003",1983,29.8772280223172
"Gougaram","NER001002003",1984,29.7060818121502
"Gougaram","NER001002003",1985,40.9444229858562
"Gougaram","NER001002003",1986,48.4161974853821
"Gougaram","NER001002003",1987,40.9741470246164
