"Region","Year","Precipitation"
"Agadez",1981,75.107
"Agadez",1982,58.025
"Agadez",1983,51.329
"Agadez",1984,37.279
"Agadez",1985,50.055
"Agadez",1986,65.297
"Agadez",1987,47.338
"Agadez",1988,77.879
"Agadez",1989,75.373
"Agadez",1990,44.596
"Agadez",1991,63.042
"Agadez",1992,60.27
"Agadez",1993,47.848
"Agadez",1994,90.426
"Agadez",1995,47.05
"Agadez",1996,43.96
"Agadez",1997,96.834
"Agadez",1998,114.218
"Agadez",1999,111.468
"Agadez",2000,59.043
"Agadez",2001,63.398
"Agadez",2002,73.893
"Agadez",2003,81.232
"Agadez",2004,57.543
"Agadez",2005,59.909
"Agadez",2006,58.866
"Agadez",2007,70.039
"Agadez",2008,62.337
"Agadez",2009,62.684
"Agadez",2010,81.606
"Agadez",2011,65.364
"Agadez",2012,69.619
"Agadez",2013,55.504
"Agadez",2014,49.472
"Agadez",2015,82.49
"Agadez",2016,60.926
"Agadez",2017,55.672
"Agadez",2018,89.563
"Agadez",2019,80.952
"Agadez",2020,92.219
"Agadez",2021,57.605
"Diffa",1981,190.1
"Diffa",1982,195.234
"Diffa",1983,127.93
"Diffa",1984,85.926
"Diffa",1985,224.786
"Diffa",1986,199.424
"Diffa",1987,130.848
"Diffa",1988,322.114
"Diffa",1989,202.308
"Diffa",1990,183.684
"Diffa",1991,269.215
"Diffa",1992,232.286
"Diffa",1993,224.241
"Diffa",1994,362.524
"Diffa",1995,244.54
"Diffa",1996,189.806
"Diffa",1997,191.244
"Diffa",1998,260.905
"Diffa",1999,318.878
"Diffa",2000,171.059
"Diffa",2001,202.711
"Diffa",2002,181.788
"Diffa",2003,308.375
"Diffa",2004,188.222
"Diffa",2005,246.901
"Diffa",2006,213.817
"Diffa",2007,297.187
"Diffa",2008,218.939
"Diffa",2009,163.644
"Diffa",2010,224.166
"Diffa",2011,229.441
"Diffa",2012,373.883
"Diffa",2013,247.955
"Diffa",2014,226.578
"Diffa",2015,242.498
"Diffa",2016,307.893
"Diffa",2017,233.393
"Diffa",2018,320.641
"Diffa",2019,344.859
"Diffa",2020,307.698
"Diffa",2021,281.126
"Dosso",1981,591.229
"Dosso",1982,467.235
"Dosso",1983,479.204
"Dosso",1984,360.778
"Dosso",1985,510.144
"Dosso",1986,546.207
"Dosso",1987,452.252
"Dosso",1988,633.262
"Dosso",1989,569.127
"Dosso",1990,504.57
"Dosso",1991,610.117
"Dosso",1992,617.154
"Dosso",1993,465.475
"Dosso",1994,768.938
"Dosso",1995,509.115
"Dosso",1996,538.526
"Dosso",1997,507.43
"Dosso",1998,623.178
"Dosso",1999,676.231
"Dosso",2000,553.822
"Dosso",2001,539.826
"Dosso",2002,618.948
"Dosso",2003,632.443
"Dosso",2004,520.574
"Dosso",2005,608.984
"Dosso",2006,607.266
"Dosso",2007,602.393
"Dosso",2008,575.955
"Dosso",2009,507.759
"Dosso",2010,648.155
"Dosso",2011,453.536
"Dosso",2012,623.229
"Dosso",2013,527.526
"Dosso",2014,571.561
