"Region","Year","Precipitation"
"Agadez",1981,81.341
"Agadez",1982,71.761
"Agadez",1983,61.351
"Agadez",1984,40.728
"Agadez",1985,67.696
"Agadez",1986,81.919
"Agadez",1987,59.404
"Agadez",1988,99.22
"Agadez",1989,83.574
"Agadez",1990,54.058
"Agadez",1991,79.115
"Agadez",1992,77.83
"Agadez",1993,63.477
"Agadez",1994,106.488
"Agadez",1995,59.28
"Agadez",1996,57.006
"Agadez",1997,93.031
"Agadez",1998,114.072
"Agadez",1999,119.439
"Agadez",2000,65.61
"Agadez",2001,77.582
"Agadez",2002,81.96
"Agadez",2003,97.445
"Agadez",2004,66.393
"Agadez",2005,76.967
"Agadez",2006,69.612
"Agadez",2007,81.658
"Agadez",2008,75.691
"Agadez",2009,68.069
"Agadez",2010,92.926
"Agadez",2011,74.485
"Agadez",2012,87.198
"Agadez",2013,71.944
"Agadez",2014,63.41
"Agadez",2015,90.122
"Agadez",2016,75.65
"Agadez",2017,69.489
"Agadez",2018,101.101
"Agadez",2019,87.49
"Agadez",2020,95.977
"Agadez",2021,74.717
"Diffa",1981,174.761
"Diffa",1982,184.186
"Diffa",1983,120.07
"Diffa",1984,83.623
"Diffa",1985,203.654
"Diffa",1986,181.728
"Diffa",1987,129.022
"Diffa",1988,297.301
"Diffa",1989,201.031
"Diffa",1990,170.114
"Diffa",1991,240.453
"Diffa",1992,213.534
"Diffa",1993,201.906
"Diffa",1994,317.95
"Diffa",1995,217.826
"Diffa",1996,175.604
"Diffa",1997,178.337
"Diffa",1998,237.384
"Diffa",1999,290.463
"Diffa",2000,164.127
"Diffa",2001,187.326
"Diffa",2002,188.029
"Diffa",2003,279.109
"Diffa",2004,173.372
"Diffa",2005,230.678
"Diffa",2006,206.428
"Diffa",2007,271.453
"Diffa",2008,200.84
"Diffa",2009,148.858
"Diffa",2010,215.881
"Diffa",2011,211.706
"Diffa",2012,340.684
"Diffa",2013,225.282
"Diffa",2014,199.158
"Diffa",2015,214.936
"Diffa",2016,277.617
"Diffa",2017,208.62
"Diffa",2018,291.594
"Diffa",2019,316.937
"Diffa",2020,277.089
"Diffa",2021,258.694
"Dosso",1981,597.051
"Dosso",1982,479.523
"Dosso",1983,483.949
"Dosso",1984,355.53
"Dosso",1985,522.215
"Dosso",1986,584.49
"Dosso",1987,464.137
"Dosso",1988,648.239
"Dosso",1989,574.743
"Dosso",1990,514.617
"Dosso",1991,617.139
"Dosso",1992,619.883
"Dosso",1993,486.448
"Dosso",1994,787.018
"Dosso",1995,527.637
"Dosso",1996,557.766
"Dosso",1997,500.692
"Dosso",1998,631.265
"Dosso",1999,683.093
"Dosso",2000,544.727
"Dosso",2001,564.969
"Dosso",2002,614.962
"Dosso",2003,639.268
"Dosso",2004,534.936
"Dosso",2005,610.071
"Dosso",2006,599.291
"Dosso",2007,607.141
"Dosso",2008,585.593
"Dosso",2009,515.566
"Dosso",2010,650.888
"Dosso",2011,468.545
"Dosso",2012,614.08
"Dosso",2013,535.598
"Dosso",2014,558.71
"Dosso",2015,561.284
"Dosso",2016,544.002
"Dosso",2017,559.883
"Dosso",2018,684.724
"Dosso",2019,597.725
"Dosso",2020,805.006
"Dosso",2021,561.098
"Maradi",1981,373.654
"Maradi",1982,326.101
"Maradi",1983,318.555
"Maradi",1984,199.547
"Maradi",1985,323.293
"Maradi",1986,418.794
"Maradi",1987,268.534
"Maradi",1988,436.039
"Maradi",1989,429.964
"Maradi",1990,342.741
"Maradi",1991,422.367
"Maradi",1992,383.624
"Maradi",1993,293.356
"Maradi",1994,507.34
"Maradi",1995,385.223
"Maradi",1996,353.261
"Maradi",1997,373.198
"Maradi",1998,472.932
"Maradi",1999,549.568
"Maradi",2000,397.962
"Maradi",2001,534.599
"Maradi",2002,430.361
"Maradi",2003,523.55
"Maradi",2004,411.02
"Maradi",2005,462.447
"Maradi",2006,480.266
"Maradi",2007,393.807
"Maradi",2008,407.466
"Maradi",2009,319.454
"Maradi",2010,515.02
"Maradi",2011,410.791
"Maradi",2012,474.021
"Maradi",2013,424.112
"Maradi",2014,413.332
"Maradi",2015,397.793
"Maradi",2016,393.078
"Maradi",2017,356.096
"Maradi",2018,511.355
"Maradi",2019,452.764
"Maradi",2020,548.127
"Maradi",2021,430.323
"Tahoua",1981,333.817
"Tahoua",1982,274.443
"Tahoua",1983,282.589
"Tahoua",1984,176.154
"Tahoua",1985,285.58
"Tahoua",1986,326.124
"Tahoua",1987,272.766
"Tahoua",1988,400.858
"Tahoua",1989,386.551
"Tahoua",1990,289.929
"Tahoua",1991,414.649
"Tahoua",1992,326.483
"Tahoua",1993,255.279
"Tahoua",1994,490.215
"Tahoua",1995,307.622
"Tahoua",1996,301.217
"Tahoua",1997,285.719
"Tahoua",1998,408.912
"Tahoua",1999,463.408
"Tahoua",2000,303.436
"Tahoua",2001,368.672
"Tahoua",2002,345.422
"Tahoua",2003,383.987
"Tahoua",2004,336.839
"Tahoua",2005,381.764
"Tahoua",2006,387.27
"Tahoua",2007,354.983
"Tahoua",2008,376.993
"Tahoua",2009,276.702
"Tahoua",2010,396.06
"Tahoua",2011,304.959
"Tahoua",2012,382.049
"Tahoua",2013,307.795
"Tahoua",2014,359.819
"Tahoua",2015,341.543
"Tahoua",2016,345.66
"Tahoua",2017,299.629
"Tahoua",2018,422.525
"Tahoua",2019,342.663
"Tahoua",2020,479.25
"Tahoua",2021,344.8
"Tillabéri",1981,397.529
"Tillabéri",1982,328.654
"Tillabéri",1983,341.277
"Tillabéri",1984,229.123
"Tillabéri",1985,320.462
"Tillabéri",1986,358.353
"Tillabéri",1987,295.662
"Tillabéri",1988,456.706
"Tillabéri",1989,418.898
"Tillabéri",1990,342.184
"Tillabéri",1991,407.75
"Tillabéri",1992,416.485
"Tillabéri",1993,342.434
"Tillabéri",1994,531.625
"Tillabéri",1995,402.727
"Tillabéri",1996,367.229
"Tillabéri",1997,318.857
"Tillabéri",1998,485.168
"Tillabéri",1999,497.594
"Tillabéri",2000,378.368
"Tillabéri",2001,417.535
"Tillabéri",2002,400.841
"Tillabéri",2003,461.685
"Tillabéri",2004,374.218
"Tillabéri",2005,466.159
"Tillabéri",2006,367.928
"Tillabéri",2007,430.284
"Tillabéri",2008,398.942
"Tillabéri",2009,361.115
"Tillabéri",2010,430.465
"Tillabéri",2011,324.523
"Tillabéri",2012,485.327
"Tillabéri",2013,421.142
"Tillabéri",2014,398.99
"Tillabéri",2015,441.247
"Tillabéri",2016,433.982
"Tillabéri",2017,419.376
"Tillabéri",2018,460.463
"Tillabéri",2019,409.822
"Tillabéri",2020,561.001
"Tillabéri",2021,385.839
"Zinder",1981,292.068
"Zinder",1982,285.778
"Zinder",1983,258.308
"Zinder",1984,158.063
"Zinder",1985,282.211
"Zinder",1986,312.097
"Zinder",1987,207.297
"Zinder",1988,377.17
"Zinder",1989,318.964
"Zinder",1990,260.938
"Zinder",1991,334.397
"Zinder",1992,331.112
"Zinder",1993,295.778
"Zinder",1994,420.304
"Zinder",1995,313.663
"Zinder",1996,275.053
"Zinder",1997,313.991
"Zinder",1998,391.557
"Zinder",1999,407.923
"Zinder",2000,298.301
"Zinder",2001,396.276
"Zinder",2002,369.752
"Zinder",2003,442.939
"Zinder",2004,338.475
"Zinder",2005,377.39
"Zinder",2006,347.144
"Zinder",2007,288.194
"Zinder",2008,377.416
"Zinder",2009,258.253
"Zinder",2010,395.068
"Zinder",2011,339.849
"Zinder",2012,451.972
"Zinder",2013,347.189
"Zinder",2014,314.817
"Zinder",2015,335.58
"Zinder",2016,314.844
"Zinder",2017,300.375
"Zinder",2018,409.58
"Zinder",2019,422.439
"Zinder",2020,411.294
"Zinder",2021,373.688
"Niamey",1981,491.451
"Niamey",1982,372.059
"Niamey",1983,485.664
"Niamey",1984,284.554
"Niamey",1985,379.432
"Niamey",1986,394.005
"Niamey",1987,378.644
"Niamey",1988,526.313
"Niamey",1989,528.076
"Niamey",1990,456.623
"Niamey",1991,503.063
"Niamey",1992,532.835
"Niamey",1993,437.727
"Niamey",1994,622.435
"Niamey",1995,519.116
"Niamey",1996,493.409
"Niamey",1997,361.096
"Niamey",1998,833.63
"Niamey",1999,607.198
"Niamey",2000,470.285
"Niamey",2001,499.177
"Niamey",2002,472.972
"Niamey",2003,507.36
"Niamey",2004,459.078
"Niamey",2005,579.868
"Niamey",2006,442.766
"Niamey",2007,546.606
"Niamey",2008,476.792
"Niamey",2009,456.775
"Niamey",2010,577.199
"Niamey",2011,347.515
"Niamey",2012,607.127
"Niamey",2013,525.806
"Niamey",2014,494.092
"Niamey",2015,525.035
"Niamey",2016,538.805
"Niamey",2017,593.069
"Niamey",2018,592.602
"Niamey",2019,519.63
"Niamey",2020,675.584
"Niamey",2021,509.731
