"admin2Name","admin2Pcod","year","month","seasonaltotal_precip","seasonalmean_precip"
"Aderbissinat","NE0101",1981,6,18.8237261178455,3.13728768630759
"Aderbissinat","NE0101",1981,7,49.2011014678716,8.2001835779786
"Aderbissinat","NE0101",1981,8,41.0635368392898,6.84392280654829
"Aderbissinat","NE0101",1981,9,13.9397332228929,2.32328887048214
"Aderbissinat","NE0101",1982,6,12.3981204017584,2.06635340029307
"Aderbissinat","NE0101",1982,7,17.7987233609583,2.96645389349304
"Aderbissinat","NE0101",1982,8,72.866494522917,12.1444157538195
"Aderbissinat","NE0101",1982,9,11.9201825394218,1.98669708990364
"Aderbissinat","NE0101",1983,6,17.4928333425467,2.91547222375778
"Aderbissinat","NE0101",1983,7,33.5398118726669,5.58996864544449
"Aderbissinat","NE0101",1983,8,29.2478855754321,4.87464759590534
"Aderbissinat","NE0101",1983,9,9.81471480157859,1.6357858002631
"Aderbissinat","NE0101",1984,6,10.4547694484809,1.74246157474682
"Aderbissinat","NE0101",1984,7,12.4205893311276,2.0700982218546
"Aderbissinat","NE0101",1984,8,11.763660998585,1.96061016643084
"Aderbissinat","NE0101",1984,9,18.9270707912481,3.15451179854135
"Aderbissinat","NE0101",1985,6,15.8539304536569,2.64232174227615
"Aderbissinat","NE0101",1985,7,28.1226399094,4.68710665156667
"Aderbissinat","NE0101",1985,8,55.3599257194002,9.2266542865667
"Aderbissinat","NE0101",1985,9,18.4396747330183,3.07327912216971
"Aderbissinat","NE0101",1986,6,15.7802646827561,2.63004411379269
"Aderbissinat","NE0101",1986,7,44.9378487154676,7.48964145257794
"Aderbissinat","NE0101",1986,8,45.1024041086184,7.51706735143641
"Aderbissinat","NE0101",1986,9,30.795806443994,5.13263440733233
"Aderbissinat","NE0101",1987,6,10.4521079281303,1.74201798802172
"Aderbissinat","NE0101",1987,7,25.1821382498431,4.19702304164051
"Aderbissinat","NE0101",1987,8,34.8484070088396,5.80806783480659
"Aderbissinat","NE0101",1987,9,13.3209586003993,2.22015976673321
"Aderbissinat","NE0101",1988,6,18.4389002512814,3.07315004188024
"Aderbissinat","NE0101",1988,7,56.1072522156607,9.35120870261011
"Aderbissinat","NE0101",1988,8,85.3301549175179,14.221692486253
"Aderbissinat","NE0101",1988,9,16.1229900778342,2.68716501297236
"Aderbissinat","NE0101",1989,6,12.3766877416347,2.06278129027245
"Aderbissinat","NE0101",1989,7,28.7256195442792,4.78760325737987
"Aderbissinat","NE0101",1989,8,70.8394821261496,11.8065803543583
"Aderbissinat","NE0101",1989,9,11.3092628971784,1.88487714952974
