"Region","Year","Precipitation"
"Agadez",1981,81.3
"Agadez",1982,71.8
"Agadez",1983,61.4
"Agadez",1984,40.7
"Agadez",1985,67.7
"Agadez",1986,81.9
"Agadez",1987,59.4
"Agadez",1988,99.2
"Agadez",1989,83.6
"Agadez",1990,54.1
"Agadez",1991,79.1
"Agadez",1992,77.8
"Agadez",1993,63.5
"Agadez",1994,106.5
"Agadez",1995,59.3
"Agadez",1996,57
"Agadez",1997,93
"Agadez",1998,114.1
"Agadez",1999,119.4
"Agadez",2000,65.6
"Agadez",2001,77.6
"Agadez",2002,82
"Agadez",2003,97.4
"Agadez",2004,66.4
"Agadez",2005,77
"Agadez",2006,69.6
"Agadez",2007,81.7
"Agadez",2008,75.7
"Agadez",2009,68.1
"Agadez",2010,92.9
"Agadez",2011,74.5
"Agadez",2012,87.2
"Agadez",2013,71.9
"Agadez",2014,63.4
"Agadez",2015,90.1
"Agadez",2016,75.6
"Agadez",2017,69.5
"Agadez",2018,101.1
"Agadez",2019,87.5
"Agadez",2020,96
"Agadez",2021,74.7
"Diffa",1981,174.8
"Diffa",1982,184.2
"Diffa",1983,120.1
"Diffa",1984,83.6
"Diffa",1985,203.7
"Diffa",1986,181.7
"Diffa",1987,129
"Diffa",1988,297.3
"Diffa",1989,201
"Diffa",1990,170.1
"Diffa",1991,240.5
"Diffa",1992,213.5
"Diffa",1993,201.9
"Diffa",1994,317.9
"Diffa",1995,217.8
"Diffa",1996,175.6
"Diffa",1997,178.3
"Diffa",1998,237.4
"Diffa",1999,290.5
"Diffa",2000,164.1
"Diffa",2001,187.3
"Diffa",2002,188
"Diffa",2003,279.1
"Diffa",2004,173.4
"Diffa",2005,230.7
"Diffa",2006,206.4
"Diffa",2007,271.5
"Diffa",2008,200.8
"Diffa",2009,148.9
"Diffa",2010,215.9
"Diffa",2011,211.7
"Diffa",2012,340.7
"Diffa",2013,225.3
"Diffa",2014,199.2
"Diffa",2015,214.9
"Diffa",2016,277.6
"Diffa",2017,208.6
"Diffa",2018,291.6
"Diffa",2019,316.9
"Diffa",2020,277.1
"Diffa",2021,258.7
"Dosso",1981,597.1
"Dosso",1982,479.5
"Dosso",1983,483.9
"Dosso",1984,355.5
"Dosso",1985,522.2
"Dosso",1986,584.5
"Dosso",1987,464.1
"Dosso",1988,648.2
"Dosso",1989,574.7
"Dosso",1990,514.6
"Dosso",1991,617.1
"Dosso",1992,619.9
"Dosso",1993,486.4
"Dosso",1994,787
"Dosso",1995,527.6
"Dosso",1996,557.8
"Dosso",1997,500.7
"Dosso",1998,631.3
"Dosso",1999,683.1
"Dosso",2000,544.7
"Dosso",2001,565
"Dosso",2002,615
"Dosso",2003,639.3
"Dosso",2004,534.9
"Dosso",2005,610.1
"Dosso",2006,599.3
"Dosso",2007,607.1
"Dosso",2008,585.6
"Dosso",2009,515.6
"Dosso",2010,650.9
"Dosso",2011,468.5
"Dosso",2012,614.1
"Dosso",2013,535.6
"Dosso",2014,558.7
"Dosso",2015,561.3
"Dosso",2016,544
"Dosso",2017,559.9
"Dosso",2018,684.7
"Dosso",2019,597.7
"Dosso",2020,805
"Dosso",2021,561.1
"Maradi",1981,373.7
"Maradi",1982,326.1
"Maradi",1983,318.6
"Maradi",1984,199.5
"Maradi",1985,323.3
"Maradi",1986,418.8
"Maradi",1987,268.5
"Maradi",1988,436
"Maradi",1989,430
"Maradi",1990,342.7
"Maradi",1991,422.4
"Maradi",1992,383.6
"Maradi",1993,293.4
"Maradi",1994,507.3
"Maradi",1995,385.2
"Maradi",1996,353.3
"Maradi",1997,373.2
"Maradi",1998,472.9
"Maradi",1999,549.6
"Maradi",2000,398
"Maradi",2001,534.6
"Maradi",2002,430.4
"Maradi",2003,523.5
"Maradi",2004,411
"Maradi",2005,462.4
"Maradi",2006,480.3
"Maradi",2007,393.8
"Maradi",2008,407.5
"Maradi",2009,319.5
"Maradi",2010,515
"Maradi",2011,410.8
"Maradi",2012,474
"Maradi",2013,424.1
"Maradi",2014,413.3
"Maradi",2015,397.8
"Maradi",2016,393.1
"Maradi",2017,356.1
"Maradi",2018,511.4
"Maradi",2019,452.8
"Maradi",2020,548.1
"Maradi",2021,430.3
"Tahoua",1981,333.8
"Tahoua",1982,274.4
"Tahoua",1983,282.6
"Tahoua",1984,176.2
"Tahoua",1985,285.6
"Tahoua",1986,326.1
"Tahoua",1987,272.8
"Tahoua",1988,400.9
"Tahoua",1989,386.6
"Tahoua",1990,289.9
"Tahoua",1991,414.6
"Tahoua",1992,326.5
"Tahoua",1993,255.3
"Tahoua",1994,490.2
"Tahoua",1995,307.6
"Tahoua",1996,301.2
"Tahoua",1997,285.7
"Tahoua",1998,408.9
"Tahoua",1999,463.4
"Tahoua",2000,303.4
"Tahoua",2001,368.7
"Tahoua",2002,345.4
"Tahoua",2003,384
"Tahoua",2004,336.8
"Tahoua",2005,381.8
"Tahoua",2006,387.3
"Tahoua",2007,355
"Tahoua",2008,377
"Tahoua",2009,276.7
"Tahoua",2010,396.1
"Tahoua",2011,305
"Tahoua",2012,382
"Tahoua",2013,307.8
"Tahoua",2014,359.8
"Tahoua",2015,341.5
"Tahoua",2016,345.7
"Tahoua",2017,299.6
"Tahoua",2018,422.5
"Tahoua",2019,342.7
"Tahoua",2020,479.2
"Tahoua",2021,344.8
"Tillabéri",1981,397.5
"Tillabéri",1982,328.7
"Tillabéri",1983,341.3
"Tillabéri",1984,229.1
"Tillabéri",1985,320.5
"Tillabéri",1986,358.4
"Tillabéri",1987,295.7
"Tillabéri",1988,456.7
"Tillabéri",1989,418.9
"Tillabéri",1990,342.2
"Tillabéri",1991,407.7
"Tillabéri",1992,416.5
"Tillabéri",1993,342.4
"Tillabéri",1994,531.6
"Tillabéri",1995,402.7
"Tillabéri",1996,367.2
"Tillabéri",1997,318.9
"Tillabéri",1998,485.2
"Tillabéri",1999,497.6
"Tillabéri",2000,378.4
"Tillabéri",2001,417.5
"Tillabéri",2002,400.8
"Tillabéri",2003,461.7
"Tillabéri",2004,374.2
"Tillabéri",2005,466.2
"Tillabéri",2006,367.9
"Tillabéri",2007,430.3
"Tillabéri",2008,398.9
"Tillabéri",2009,361.1
"Tillabéri",2010,430.5
"Tillabéri",2011,324.5
"Tillabéri",2012,485.3
"Tillabéri",2013,421.1
"Tillabéri",2014,399
"Tillabéri",2015,441.2
"Tillabéri",2016,434
"Tillabéri",2017,419.4
"Tillabéri",2018,460.5
"Tillabéri",2019,409.8
"Tillabéri",2020,561
"Tillabéri",2021,385.8
"Zinder",1981,292.1
"Zinder",1982,285.8
"Zinder",1983,258.3
"Zinder",1984,158.1
"Zinder",1985,282.2
"Zinder",1986,312.1
"Zinder",1987,207.3
"Zinder",1988,377.2
"Zinder",1989,319
"Zinder",1990,260.9
"Zinder",1991,334.4
"Zinder",1992,331.1
"Zinder",1993,295.8
"Zinder",1994,420.3
"Zinder",1995,313.7
"Zinder",1996,275.1
"Zinder",1997,314
"Zinder",1998,391.6
"Zinder",1999,407.9
"Zinder",2000,298.3
"Zinder",2001,396.3
"Zinder",2002,369.8
"Zinder",2003,442.9
"Zinder",2004,338.5
"Zinder",2005,377.4
"Zinder",2006,347.1
"Zinder",2007,288.2
"Zinder",2008,377.4
"Zinder",2009,258.3
"Zinder",2010,395.1
"Zinder",2011,339.8
"Zinder",2012,452
