"admin1Name","admin1Pcod","admin2Name","admin2Pcod","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Agadez","NE01","Aderbissinat","NE0101",1982,0.160568181223849,0.118406396375013,0.0146182179478429,0.180211308096059,0.0979608066997904,-0.200520264521786
"Agadez","NE01","Arlit","NE0102",1982,0.154744800857071,0.118522604404871,0.0187918099152734,0.185451635283366,0.127629955921426,-0.240592690051534
"Agadez","NE01","Bilma","NE0103",1982,0.137756904221087,0.116863283326899,0.0112974701593131,0.177781839002101,0.112754911418814,-0.354972872377559
"Agadez","NE01","Iferouane","NE0104",1982,0.146148344751713,0.118785760096635,0.0123960625609064,0.172324131546581,0.109144829976844,-0.239826172255907
"Agadez","NE01","Ingall","NE0105",1982,0.159741632653061,0.121344595899678,0.0189868546255728,0.194748929781735,0.151047832889221,-0.231762988313432
"Agadez","NE01","Tchirozerine","NE0106",1982,0.156405068172428,0.110491708073547,0.0175688305871576,0.174576386542067,0.0788631845746176,-0.230415731594575
"Diffa","NE02","Bosso","NE0201",1982,0.3734,0.16263203125,0.0530489663840784,0.374668965517241,0.0851376075347949,-0.0149048763993369
"Diffa","NE02","Diffa","NE0202",1982,0.38635,0.16063244505933,0.0552144122781181,0.342494252498139,0.0676912266174965,0.647879344093984
"Diffa","NE02","Goudoumaria","NE0203",1982,0.347933333333333,0.165555359050775,0.0477760669215397,0.286670402802194,0.0332191815475857,1.84420348958271
"Diffa","NE02","Maïné Soroa","NE0204",1982,0.365541509433962,0.164297327199231,0.0525409042338983,0.292313031342947,0.041098561099268,1.78177717497558
"Diffa","NE02","N'Gourti","NE0205",1982,0.133859375,0.104615226864931,0.012675475804773,0.161815148472412,0.078493222513278,-0.356155252355493
"Diffa","NE02","N'Guigmi","NE0206",1982,0.2884,0.137246985883816,0.0355195335462325,0.262923740186671,0.0694140380345581,0.36701884135663
"Dosso","NE03","Boboye","NE0301",1982,0.376959395973154,0.183983054276633,0.057011173321986,0.352858443633105,0.0590223808347471,0.408335821076545
"Dosso","NE03","Dioundiou","NE0302",1982,0.412166666666667,0.197099751582355,0.0666841857905475,0.408148346772153,0.0425914633213494,0.0943456641580139
"Dosso","NE03","Dogondoutchi","NE0303",1982,0.27656,0.154211662680754,0.0391116244262185,0.294386488026791,0.0467128574930579,-0.381618444759885
"Dosso","NE03","Dosso","NE0304",1982,0.411725,0.191394673641118,0.0600252969293973,0.384847351750838,0.0638889535267699,0.420693199144356
"Dosso","NE03","Falmey","NE0305",1982,0.43160432,0.198567317432894,0.0677951561393855,0.430916607623441,0.0415244153016136,0.016561639015596
"Dosso","NE03","Gaya","NE0306",1982,0.47476746031746,0.210474109056746,0.0814094977134868,0.484770746637419,0.0251393645797655,-0.397913252270913
"Dosso","NE03","Loga","NE0307",1982,0.326,0.172989932615141,0.0487383125068848,0.332700579505896,0.0345799816594683,-0.193770475990443
"Dosso","NE03","Tibiri","NE0308",1982,0.3546,0.182499758674447,0.0537704308054805,0.346118889619715,0.0856881015661658,0.0989765232893638
"Maradi","NE04","Aguié","NE0401",1982,0.324050590551181,0.181206519635707,0.0504312797496266,0.347157841500467,0.117389950058926,-0.196841815996066
"Maradi","NE04","Bermo","NE0402",1982,0.267933333333333,0.140931470927468,0.0341649937920846,0.300274281518461,0.0570465761698136,-0.566921809450175
"Maradi","NE04","Dakoro","NE0403",1982,0.273162250961202,0.153123065903245,0.0373974623858075,0.29937487795186,0.0950528508591281,-0.275768972247939
"Maradi","NE04","Gazaoua","NE0404",1982,0.3146,0.18197251552795,0.0501399896757114,0.358786206896552,0.118533276593953,-0.372774702313476
"Maradi","NE04","Guidan Roumdji","NE0405",1982,0.317174865156419,0.171642410631777,0.0483682026714947,0.327486151735528,0.0397088642546464,-0.259672160678893
