"Region","Year","ndvi"
"Agadez",1982,0.156
"Diffa",1982,0.357
"Dosso",1982,0.394
"Maradi",1982,0.315
"Tahoua",1982,0.242
"Tillabéri",1982,0.265
"Zinder",1982,0.297
"Niamey",1982,0.296
"Agadez",1983,0.15
"Diffa",1983,0.199
"Dosso",1983,0.366
"Maradi",1983,0.31
"Tahoua",1983,0.217
"Tillabéri",1983,0.246
"Zinder",1983,0.292
"Niamey",1983,0.295
"Agadez",1984,0.156
"Diffa",1984,0.216
"Dosso",1984,0.303
"Maradi",1984,0.232
"Tahoua",1984,0.173
"Tillabéri",1984,0.181
"Zinder",1984,0.192
"Niamey",1984,0.235
"Agadez",1985,0.258
"Diffa",1985,0.298
"Dosso",1985,0.358
"Maradi",1985,0.306
"Tahoua",1985,0.204
"Tillabéri",1985,0.257
"Zinder",1985,0.309
"Niamey",1985,0.255
"Agadez",1986,0.149
"Diffa",1986,0.298
"Dosso",1986,0.359
"Maradi",1986,0.3
"Tahoua",1986,0.235
"Tillabéri",1986,0.24
"Zinder",1986,0.297
"Niamey",1986,0.263
"Agadez",1987,0.147
"Diffa",1987,0.238
"Dosso",1987,0.349
"Maradi",1987,0.282
"Tahoua",1987,0.213
"Tillabéri",1987,0.197
"Zinder",1987,0.244
"Niamey",1987,0.234
"Agadez",1988,0.142
"Diffa",1988,0.352
"Dosso",1988,0.36
"Maradi",1988,0.314
"Tahoua",1988,0.274
"Tillabéri",1988,0.276
"Zinder",1988,0.309
"Niamey",1988,0.268
"Agadez",1989,0.138
"Diffa",1989,0.24
"Dosso",1989,0.357
"Maradi",1989,0.274
"Tahoua",1989,0.241
"Tillabéri",1989,0.255
"Zinder",1989,0.263
"Niamey",1989,0.249
"Agadez",1990,0.152
"Diffa",1990,0.299
"Dosso",1990,0.35
"Maradi",1990,0.299
"Tahoua",1990,0.223
"Tillabéri",1990,0.229
"Zinder",1990,0.273
"Niamey",1990,0.26
"Agadez",1991,0.141
"Diffa",1991,0.253
"Dosso",1991,0.359
"Maradi",1991,0.294
"Tahoua",1991,0.281
"Tillabéri",1991,0.253
"Zinder",1991,0.24
"Niamey",1991,0.244
"Agadez",1992,0.151
"Diffa",1992,0.292
"Dosso",1992,0.339
"Maradi",1992,0.303
"Tahoua",1992,0.281
"Tillabéri",1992,0.257
"Zinder",1992,0.271
"Niamey",1992,0.259
"Agadez",1993,0.146
"Diffa",1993,0.303
"Dosso",1993,0.373
"Maradi",1993,0.317
"Tahoua",1993,0.239
"Tillabéri",1993,0.24
"Zinder",1993,0.307
"Niamey",1993,0.294
"Agadez",1994,0.646
"Diffa",1994,0.447
"Dosso",1994,0.581
"Maradi",1994,0.486
"Tahoua",1994,0.403
"Tillabéri",1994,0.49
"Zinder",1994,0.459
"Niamey",1994,0.429
"Agadez",1995,0.163
"Diffa",1995,0.294
"Dosso",1995,0.36
"Maradi",1995,0.324
"Tahoua",1995,0.258
"Tillabéri",1995,0.278
"Zinder",1995,0.295
"Niamey",1995,0.331
"Agadez",1996,0.152
"Diffa",1996,0.282
"Dosso",1996,0.355
"Maradi",1996,0.303
"Tahoua",1996,0.265
"Tillabéri",1996,0.26
"Zinder",1996,0.281
"Niamey",1996,0.29
"Agadez",1997,0.16
"Diffa",1997,0.254
"Dosso",1997,0.33
"Maradi",1997,0.321
"Tahoua",1997,0.268
"Tillabéri",1997,0.26
"Zinder",1997,0.29
"Niamey",1997,0.255
"Agadez",1998,0.167
"Diffa",1998,0.322
"Dosso",1998,0.363
"Maradi",1998,0.332
"Tahoua",1998,0.271
"Tillabéri",1998,0.276
"Zinder",1998,0.307
"Niamey",1998,0.255
"Agadez",1999,0.163
"Diffa",1999,0.323
"Dosso",1999,0.38
"Maradi",1999,0.377
"Tahoua",1999,0.35
"Tillabéri",1999,0.316
"Zinder",1999,0.339
"Niamey",1999,0.291
"Agadez",2000,0.163
"Diffa",2000,0.27
"Dosso",2000,0.374
"Maradi",2000,0.378
"Tahoua",2000,0.315
"Tillabéri",2000,0.307
"Zinder",2000,0.337
"Niamey",2000,0.3
"Agadez",2001,0.143
"Diffa",2001,0.296
"Dosso",2001,0.362
"Maradi",2001,0.337
"Tahoua",2001,0.303
"Tillabéri",2001,0.301
"Zinder",2001,0.305
"Niamey",2001,0.286
"Agadez",2002,0.139
"Diffa",2002,0.31
"Dosso",2002,0.372
"Maradi",2002,0.345
"Tahoua",2002,0.262
"Tillabéri",2002,0.26
"Zinder",2002,0.307
"Niamey",2002,0.265
"Agadez",2003,0.225
"Diffa",2003,0.277
"Dosso",2003,0.359
"Maradi",2003,0.327
"Tahoua",2003,0.295
"Tillabéri",2003,0.297
"Zinder",2003,0.316
"Niamey",2003,0.273
"Agadez",2004,0.321
"Diffa",2004,0.318
"Dosso",2004,0.377
"Maradi",2004,0.446
"Tahoua",2004,0.358
"Tillabéri",2004,0.292
"Zinder",2004,0.355
"Niamey",2004,0.534
"Agadez",2005,0.145
"Diffa",2005,0.298
"Dosso",2005,0.43
"Maradi",2005,0.34
"Tahoua",2005,0.274
"Tillabéri",2005,0.278
"Zinder",2005,0.331
"Niamey",2005,0.283
"Agadez",2006,0.137
"Diffa",2006,0.274
"Dosso",2006,0.386
"Maradi",2006,0.333
"Tahoua",2006,0.299
"Tillabéri",2006,0.276
"Zinder",2006,0.293
"Niamey",2006,0.276
"Agadez",2007,0.137
"Diffa",2007,0.318
"Dosso",2007,0.367
"Maradi",2007,0.323
"Tahoua",2007,0.332
"Tillabéri",2007,0.28
"Zinder",2007,0.313
"Niamey",2007,0.256
"Agadez",2008,0.139
"Diffa",2008,0.265
"Dosso",2008,0.376
"Maradi",2008,0.301
"Tahoua",2008,0.27
"Tillabéri",2008,0.281
"Zinder",2008,0.291
"Niamey",2008,0.27
"Agadez",2009,0.14
"Diffa",2009,0.237
"Dosso",2009,0.361
"Maradi",2009,0.294
"Tahoua",2009,0.256
"Tillabéri",2009,0.272
"Zinder",2009,0.263
