"Region","Year","NDVI"
"Agadez",1981,0.148908039833333
"Diffa",1981,0.267913927066667
"Dosso",1981,0.4099912252625
"Maradi",1981,0.3393128217
"Tahoua",1981,0.254415077530769
"Tillabéri",1981,0.302706904153846
"Zinder",1981,0.287960684963636
"Niamey",1981,0.3110046048
"Agadez",1982,0.155530948883333
"Diffa",1982,0.315805802583333
"Dosso",1982,0.3823649249375
"Maradi",1982,0.311618899255556
"Tahoua",1982,0.243514266715385
"Tillabéri",1982,0.292094405292308
"Zinder",1982,0.283145614363636
"Niamey",1982,0.2809543371
"Agadez",1983,0.15124541185
"Diffa",1983,0.21572133915
"Dosso",1983,0.3791131165625
"Maradi",1983,0.305820491588889
"Tahoua",1983,0.226943949007692
"Tillabéri",1983,0.279137461638462
"Zinder",1983,0.275002448672727
"Niamey",1983,0.3022690726
"Agadez",1984,0.15446511805
"Diffa",1984,0.205707939
"Dosso",1984,0.302260414825
"Maradi",1984,0.2251159141
"Tahoua",1984,0.179684602192308
"Tillabéri",1984,0.210414940892308
"Zinder",1984,0.2157184051
"Niamey",1984,0.2347977083
"Agadez",1985,0.302759701183333
"Diffa",1985,0.296525932983333
"Dosso",1985,0.362808355625
"Maradi",1985,0.290939144877778
"Tahoua",1985,0.217398904792308
"Tillabéri",1985,0.258325302946154
"Zinder",1985,0.294083630836364
"Niamey",1985,0.2528373528
"Agadez",1986,0.148760880133333
"Diffa",1986,0.263837584833333
"Dosso",1986,0.3626456368375
"Maradi",1986,0.318268810288889
"Tahoua",1986,0.232230877130769
"Tillabéri",1986,0.2589639768
"Zinder",1986,0.281856472318182
"Niamey",1986,0.2554803384
"Agadez",1987,0.147827533133333
"Diffa",1987,0.229916543116667
"Dosso",1987,0.3587022340375
"Maradi",1987,0.275199111133333
"Tahoua",1987,0.221261114376923
"Tillabéri",1987,0.233376134092308
"Zinder",1987,0.249186019354545
"Niamey",1987,0.225225166
"Agadez",1988,0.140414674383333
"Diffa",1988,0.311655024816667
"Dosso",1988,0.363266668675
"Maradi",1988,0.309595445944444
"Tahoua",1988,0.259404826292308
"Tillabéri",1988,0.278195558230769
"Zinder",1988,0.291804661290909
"Niamey",1988,0.2584767402
"Agadez",1989,0.1372309642
"Diffa",1989,0.21759031715
"Dosso",1989,0.3562040266
"Maradi",1989,0.277667834144444
"Tahoua",1989,0.236398947284615
"Tillabéri",1989,0.265910559946154
"Zinder",1989,0.244428151472727
"Niamey",1989,0.2526565003
"Agadez",1990,0.153470772383333
"Diffa",1990,0.263107496933333
"Dosso",1990,0.3420689416875
"Maradi",1990,0.292785136188889
"Tahoua",1990,0.225512842730769
"Tillabéri",1990,0.248268931415385
"Zinder",1990,0.254279681845455
"Niamey",1990,0.2562689441
"Agadez",1991,0.143682623333333
"Diffa",1991,0.242534536433333
"Dosso",1991,0.3615744668875
"Maradi",1991,0.287849183844444
"Tahoua",1991,0.252967778723077
"Tillabéri",1991,0.261229721
"Zinder",1991,0.236075387727273
"Niamey",1991,0.2470864853
"Agadez",1992,0.151552345816667
"Diffa",1992,0.2665211151
"Dosso",1992,0.3563462873625
"Maradi",1992,0.306305696477778
"Tahoua",1992,0.263360790946154
"Tillabéri",1992,0.269207001876923
"Zinder",1992,0.258803402036364
"Niamey",1992,0.2617218034
"Agadez",1993,0.14754835625
"Diffa",1993,0.29290651175
"Dosso",1993,0.385859318725
"Maradi",1993,0.309090056111111
"Tahoua",1993,0.254616100553846
"Tillabéri",1993,0.275259736653846
"Zinder",1993,0.290156510609091
"Niamey",1993,0.2978527308
"Agadez",1994,0.614279580683333
"Diffa",1994,0.4478507419
"Dosso",1994,0.5985927668125
"Maradi",1994,0.540258207844444
"Tahoua",1994,0.4827717555
"Tillabéri",1994,0.5209334534
"Zinder",1994,0.468208238745455
"Niamey",1994,0.4382970443
"Agadez",1995,0.169469278183333
"Diffa",1995,0.2987714316
"Dosso",1995,0.371591834225
"Maradi",1995,0.328146363111111
"Tahoua",1995,0.272342412130769
"Tillabéri",1995,0.300266363561538
"Zinder",1995,0.281078604881818
"Niamey",1995,0.3260461983
"Agadez",1996,0.15405929865
"Diffa",1996,0.29720796055
"Dosso",1996,0.3682125947875
"Maradi",1996,0.300195256611111
"Tahoua",1996,0.262852910369231
"Tillabéri",1996,0.277896658146154
"Zinder",1996,0.270166038045455
"Niamey",1996,0.2835392375
"Agadez",1997,0.15752970915
"Diffa",1997,0.24926705615
"Dosso",1997,0.3416117666
"Maradi",1997,0.313232503433333
