"","cluster","hhnum_percluster","hhid","year","int_year","int_month","passage","season","admin1","admin2","hhsize","pcexp","pcexp_food","pcexp_nonfood","latitude","longitude","zae"
"1",1,1,1001,2018,2019,6,1,NA,1,11,4,200517.8125,156197.09375,44320.7265625,16.1085487,8.4287328,4
"2",1,2,1002,2018,2019,6,1,NA,1,11,3,276107.5625,173950.828125,102156.7421875,16.1085487,8.4287328,4
"3",1,3,1003,2018,2019,6,1,NA,1,11,5,140411.265625,103298.8359375,37112.4296875,16.1085487,8.4287328,4
"4",1,4,1004,2018,2019,6,1,NA,1,11,2,222027.828125,164460.15625,57567.671875,16.1085487,8.4287328,4
"5",1,5,1005,2018,2019,6,1,NA,1,11,7,197419.375,154039.5,43379.8828125,16.1085487,8.4287328,4
"6",1,6,1006,2018,2019,6,1,NA,1,11,1,517436.15625,254631.96875,262804.1875,16.1085487,8.4287328,4
"7",1,7,1007,2018,2019,6,1,NA,1,11,2,333164.96875,243892.5625,89272.40625,16.1085487,8.4287328,4
"8",1,8,1008,2018,2019,6,1,NA,1,11,7,212697.40625,147252.71875,65444.6796875,16.1085487,8.4287328,4
"9",1,9,1009,2018,2019,6,1,NA,1,11,4,181615.75,138664.34375,42951.40234375,16.1085487,8.4287328,4
"10",1,10,1010,2018,2019,6,1,NA,1,11,2,384687.5625,293006.34375,91681.2109375,16.1085487,8.4287328,4
"11",1,11,1011,2018,2019,6,1,NA,1,11,3,301652.875,190963.671875,110689.1953125,16.1085487,8.4287328,4
"12",1,12,1012,2018,2019,6,1,NA,1,11,5,213948.046875,142341.96875,71606.078125,16.1085487,8.4287328,4
"13",2,1,2001,2018,2019,6,1,NA,1,11,12,246658.53125,137116.4375,109542.0859375,15.6179618742317,7.89286429993808,4
"14",2,2,2002,2018,2019,6,1,NA,1,11,4,639311.625,268059.65625,371251.96875,15.6179618742317,7.89286429993808,4
"15",2,3,2003,2018,2019,6,1,NA,1,11,7,172204.546875,84136.0078125,88068.5390625,15.6179618742317,7.89286429993808,4
"16",2,4,2004,2018,2019,6,1,NA,1,11,3,795381.6875,481606.25,313775.4375,15.6179618742317,7.89286429993808,4
"17",2,5,2005,2018,2019,6,1,NA,1,11,5,527039.5,330216.625,196822.859375,15.6179618742317,7.89286429993808,4
"18",2,6,2006,2018,2019,6,1,NA,1,11,4,509288.59375,377308.71875,131979.875,15.6179618742317,7.89286429993808,4
"19",2,7,2007,2018,2019,6,1,NA,1,11,4,265238.15625,90471.59375,174766.5625,15.6179618742317,7.89286429993808,4
"20",2,9,2009,2018,2019,6,1,NA,1,11,4,220247.109375,146628.828125,73618.2890625,15.6179618742317,7.89286429993808,4
"21",2,10,2010,2018,2019,6,1,NA,1,11,6,207891.09375,136041.359375,71849.7265625,15.6179618742317,7.89286429993808,4
"22",2,11,2011,2018,2019,6,1,NA,1,11,3,498348.71875,274561.75,223786.96875,15.6179618742317,7.89286429993808,4
"23",2,13,2013,2018,2019,6,1,NA,1,11,1,1054005.5,553827.375,500178.125,15.6179618742317,7.89286429993808,4
"24",2,16,2016,2018,2019,6,1,NA,1,11,5,217019.109375,141285.1875,75733.921875,15.6179618742317,7.89286429993808,4
"25",3,2,3002,2018,2018,10,1,NA,1,11,3,475591.90625,222023.671875,253568.234375,15.6986390333623,7.60188854299486,4
"26",3,3,3003,2018,2018,10,1,NA,1,11,5,210029.65625,126222.3671875,83807.2890625,15.6986390333623,7.60188854299486,4
"27",3,4,3004,2018,2018,10,1,NA,1,11,10,146548.140625,87240.9140625,59307.2265625,15.6986390333623,7.60188854299486,4
"28",3,5,3005,2018,2018,10,1,NA,1,11,4,621016.75,449395.03125,171621.734375,15.6986390333623,7.60188854299486,4
"29",3,7,3007,2018,2018,10,1,NA,1,11,6,152567.046875,86976.328125,65590.71875,15.6986390333623,7.60188854299486,4
"30",3,8,3008,2018,2018,10,1,NA,1,11,3,322947.46875,176370.4375,146577.03125,15.6986390333623,7.60188854299486,4
"31",3,9,3009,2018,2018,10,1,NA,1,11,2,359022.40625,218097,140925.40625,15.6986390333623,7.60188854299486,4
"32",3,10,3010,2018,2018,10,1,NA,1,11,4,349212.125,262562.03125,86650.09375,15.6986390333623,7.60188854299486,4
"33",3,11,3011,2018,2018,10,1,NA,1,11,19,206613.109375,137753.03125,68860.0859375,15.6986390333623,7.60188854299486,4
"34",3,12,3012,2018,2018,10,1,NA,1,11,5,144124.609375,91719.7578125,52404.8515625,15.6986390333623,7.60188854299486,4
"35",3,14,3014,2018,2018,10,1,NA,1,11,4,301359.34375,156627.328125,144732.015625,15.6986390333623,7.60188854299486,4
"36",3,15,3015,2018,2018,10,1,NA,1,11,3,282276.75,191419.953125,90856.796875,15.6986390333623,7.60188854299486,4
"37",4,1,4001,2018,2019,6,1,NA,1,12,4,572929.6875,293798.875,279130.8125,18.7514744,7.3861425,4
"38",4,3,4003,2018,2019,6,1,NA,1,12,9,247219.203125,136623.96875,110595.2421875,18.7514744,7.3861425,4
"39",4,4,4004,2018,2019,6,1,NA,1,12,9,224288.171875,103142.046875,121146.125,18.7514744,7.3861425,4
"40",4,6,4006,2018,2019,6,1,NA,1,12,3,1010846.4375,486878.28125,523968.15625,18.7514744,7.3861425,4
"41",4,7,4007,2018,2019,6,1,NA,1,12,8,1433553.75,385434.375,1048119.375,18.7514744,7.3861425,4
"42",4,8,4008,2018,2019,6,1,NA,1,12,5,246043.84375,128440.59375,117603.25,18.7514744,7.3861425,4
"43",4,9,4009,2018,2019,6,1,NA,1,12,11,275516.59375,175903.8125,99612.7890625,18.7514744,7.3861425,4
"44",4,11,4011,2018,2019,6,1,NA,1,12,5,514988.1875,284351.96875,230636.21875,18.7514744,7.3861425,4
"45",4,12,4012,2018,2019,6,1,NA,1,12,8,612257.5,229738.328125,382519.1875,18.7514744,7.3861425,4
"46",4,13,4013,2018,2019,6,1,NA,1,12,8,285315.5,161740.171875,123575.328125,18.7514744,7.3861425,4
"47",4,14,4014,2018,2019,6,1,NA,1,12,1,801115.75,525862.25,275253.5,18.7514744,7.3861425,4
"48",4,15,4015,2018,2019,6,1,NA,1,12,10,709907.3125,185648.359375,524258.96875,18.7514744,7.3861425,4
"49",5,1,5001,2018,2018,10,1,NA,1,12,9,572556.25,268362.9375,304193.3125,18.7418457,7.3901959,4
"50",5,2,5002,2018,2018,10,1,NA,1,12,5,386043.125,195517.515625,190525.609375,18.7418457,7.3901959,4
"51",5,3,5003,2018,2018,10,1,NA,1,12,21,287658.90625,80232.0859375,207426.8125,18.7418457,7.3901959,4
"52",5,4,5004,2018,2018,10,1,NA,1,12,2,2967464,749493.125,2217971,18.7418457,7.3901959,4
"53",5,5,5005,2018,2018,10,1,NA,1,12,6,259673.828125,124705.390625,134968.4375,18.7418457,7.3901959,4
"54",5,6,5006,2018,2018,10,1,NA,1,12,2,474498.34375,297467.875,177030.453125,18.7418457,7.3901959,4
"55",5,7,5007,2018,2018,10,1,NA,1,12,10,333755.15625,164817.390625,168937.765625,18.7418457,7.3901959,4
"56",5,8,5008,2018,2018,10,1,NA,1,12,11,342031.5625,177355.609375,164675.953125,18.7418457,7.3901959,4
"57",5,9,5009,2018,2018,10,1,NA,1,12,11,251589.390625,122808.6328125,128780.7578125,18.7418457,7.3901959,4
"58",5,10,5010,2018,2018,10,1,NA,1,12,5,139095.96875,89667.1171875,49428.84765625,18.7418457,7.3901959,4
"59",5,11,5011,2018,2018,10,1,NA,1,12,2,2211244.5,1015004.9375,1196239.5,18.7418457,7.3901959,4
"60",5,12,5012,2018,2018,10,1,NA,1,12,2,933702.5625,513528.78125,420173.78125,18.7418457,7.3901959,4
"61",6,1,6001,2018,2019,6,1,NA,1,12,4,385218.53125,272028.53125,113189.9921875,18.7416398199275,7.38312288187444,4
"62",6,3,6003,2018,2019,6,1,NA,1,12,6,613418.4375,363290.90625,250127.515625,18.7416398199275,7.38312288187444,4
"63",6,5,6005,2018,2019,6,1,NA,1,12,6,813635.0625,405800.375,407834.6875,18.7416398199275,7.38312288187444,4
"64",6,6,6006,2018,2019,6,1,NA,1,12,5,878427.1875,487487.03125,390940.15625,18.7416398199275,7.38312288187444,4
"65",6,7,6007,2018,2019,6,1,NA,1,12,8,562307.4375,293105.125,269202.3125,18.7416398199275,7.38312288187444,4
"66",6,9,6009,2018,2019,6,1,NA,1,12,6,355453.75,181312.046875,174141.703125,18.7416398199275,7.38312288187444,4
"67",6,10,6010,2018,2019,6,1,NA,1,12,4,708752.625,374407.90625,334344.71875,18.7416398199275,7.38312288187444,4
"68",6,11,6011,2018,2019,6,1,NA,1,12,1,616486.3125,315025.03125,301461.28125,18.7416398199275,7.38312288187444,4
"69",6,12,6012,2018,2019,6,1,NA,1,12,6,491185.78125,239131.90625,252053.875,18.7416398199275,7.38312288187444,4
"70",6,14,6014,2018,2019,6,1,NA,1,12,8,230879.28125,139468.296875,91410.984375,18.7416398199275,7.38312288187444,4
"71",6,15,6015,2018,2019,6,1,NA,1,12,1,848302.5,612892.75,235409.734375,18.7416398199275,7.38312288187444,4
"72",6,16,6016,2018,2019,6,1,NA,1,12,4,570780.6875,309480.875,261299.8125,18.7416398199275,7.38312288187444,4
"73",7,1,7001,2018,2018,10,1,NA,1,12,5,996057.8125,520437.28125,475620.53125,18.740020939149,7.38818982616067,4
"74",7,2,7002,2018,2018,10,1,NA,1,12,2,1195479.625,475216.125,720263.5,18.740020939149,7.38818982616067,4
"75",7,4,7004,2018,2018,10,1,NA,1,12,7,462157.4375,233238.140625,228919.296875,18.740020939149,7.38818982616067,4
"76",7,5,7005,2018,2018,10,1,NA,1,12,5,292877.09375,151709.21875,141167.875,18.740020939149,7.38818982616067,4
"77",7,6,7006,2018,2018,10,1,NA,1,12,5,554847.625,216609.953125,338237.6875,18.740020939149,7.38818982616067,4
"78",7,7,7007,2018,2018,10,1,NA,1,12,11,328373.375,192398.890625,135974.484375,18.740020939149,7.38818982616067,4
"79",7,8,7008,2018,2018,10,1,NA,1,12,9,730902.125,373583.84375,357318.28125,18.740020939149,7.38818982616067,4
"80",7,9,7009,2018,2018,10,1,NA,1,12,4,703532.375,194623.9375,508908.4375,18.740020939149,7.38818982616067,4
"81",7,10,7010,2018,2018,10,1,NA,1,12,2,1413266.125,771968.5625,641297.5625,18.740020939149,7.38818982616067,4
"82",7,11,7011,2018,2018,10,1,NA,1,12,3,641608.8125,328689.84375,312918.96875,18.740020939149,7.38818982616067,4
"83",7,12,7012,2018,2018,10,1,NA,1,12,7,288283.59375,116639.3203125,171644.28125,18.740020939149,7.38818982616067,4
